ticker,avg_price2013,avg_price2014,avg_price2015,avg_price2016,avg_price2017,avg_price2018,avg_price2019,current_price
ip,34.5616850625901,38.188919930231,39.00035334390307,36.96643240489657,48.06164041648348,47.55643016313652,41.78014007447258,36
ipg,12.002151383293999,15.175252017520723,17.690367308873977,19.60328799959213,19.87946746643796,20.913460104588967,20.93873045179579,18
ipgp,63.00869062211778,69.0327777711172,87.69829362536234,87.40234111604236,156.60968117884906,200.08282850653052,141.05099184550937,175
iqv,43.95231726111435,53.49857138073634,68.76460326664032,70.7367458192129,89.28039824345197,110.58498005658032,143.94095272488065,157
ir,,,,,20.9430812456593,25.034510084357393,28.105840849497962,31
irm,17.87938889246138,20.08286386066013,23.426189210679794,25.882205751207138,29.500737277635064,28.966466949280516,30.2205871400379,27
isrg,149.9708468422057,147.54945779225184,169.00632276989165,212.09945769537063,307.1840632465256,479.7075303522239,532.0130554683625,675
it,57.500198394533186,73.25749983106341,86.01527768089657,92.5786904531812,116.09039832491324,135.5960558097201,148.38420662047372,124
itw,59.84454893687415,74.73112284947955,81.80945711287241,98.53595128135076,132.0289638260921,138.26355591428234,148.42894445146834,184
ivz,22.788536056639657,27.86849031751118,28.184065750667028,23.71056251677256,28.02846907809436,23.588597719412874,17.254050546222263,10
j,53.52641736893427,52.6712837521992,40.65048894428072,47.20283464401487,55.109283447265625,65.29817459592782,80.37959889003209,83
jbht,67.55583389221675,71.90467446947855,77.31919509645492,79.22301670861623,94.78504469670148,115.18474262739083,103.0340501997206,130
jci,24.897905523814853,32.702389300815646,30.642351627349854,34.14760833316379,37.49139276633699,33.5421568350013,38.226345508817644,36
jkhy,44.68461758749826,53.88849206954714,65.37203687334818,80.44424653431726,98.47592558233862,130.83711777645277,138.14764492095463,179
jnj,70.75357258509077,85.57607299562484,87.03619287884425,102.07714316958473,119.7198605784382,125.9217722007478,131.22585980854336,148
jnpr,17.47576644685533,21.04399223933144,23.588889591277592,22.119309675125848,25.804294707765617,25.59205883527657,24.95882881255377,24
jpm,42.446238548036604,48.89357972523523,55.09596924554734,58.293728268335734,84.13401791393994,103.58410981926785,109.63923611716619,98
k,49.8475155603318,52.67545047638908,56.290078269110786,66.81176968226357,62.09663325761894,61.82569002250276,57.54127764323401,68
key,9.083716945042687,11.322203023093087,11.941187627731807,11.175657181512742,16.454895061325743,18.18379336809257,16.624392096958463,12
keys,,32.07156869476917,32.98349212464832,29.427936425284734,39.79824698398787,56.45589646115246,89.53444473327153,96
khc,,,61.24002135746063,69.93613365718296,74.38503681805979,54.31567118367351,30.82764241052052,34
kim,14.415467387153988,16.113376182223124,18.752032499464732,21.87115176518758,16.649881864448943,13.813943847717042,17.69368841156127,10
klac,38.17124049625699,49.09009700351291,52.04198319571359,65.08162559024872,90.43750613999082,100.55179933342801,130.47037763444203,188
kmb,75.33123718746124,87.79546392531623,95.86305294339618,111.12084188915435,111.91376246114176,103.09354029803637,125.67303587898375,147
kmi,27.71038305948651,28.298444225674583,28.500458338904004,16.403638771602086,17.337740613169878,15.51498435882933,18.93069633226546,14
kmx,45.79507929181296,49.750634904891726,64.01115078396268,52.88690482245551,65.84824701134427,68.62055776223718,80.15876988002232,97
ko,31.641222053103977,33.558276751684765,34.93582453046526,38.07281432076106,40.092263210342225,42.44620009342513,49.11795053027925,48
kr,15.486876502869622,21.82131546641153,33.786116410815524,32.45160843834044,24.89482251961393,26.608370982318284,24.79179054593283,34
kss,37.269304033309695,42.060333645533,46.5126179135035,36.007446735624285,35.50919551773375,62.08659995029647,53.12214049081954,20
ksu,99.97924620007711,101.77478850833954,91.30620456877209,83.58317254081605,94.16616164735589,105.49650987115989,123.60214348444863,154
l,43.719854491097585,41.852337564740864,37.84483753688752,39.5140758090549,46.89142936919315,48.98860891881692,49.89041720496284,36
lb,38.064272971380326,46.42909560127864,69.22294457753499,61.532564995780824,41.862529123921796,32.20204722643849,21.704563530664597,19
ldos,22.304701948922776,24.99322663413154,29.666656494140625,36.23661552913605,52.7546875030396,62.29725583141069,75.33657429710267,91
leg,24.322161243075417,28.329535741654652,38.53527885013156,41.67240115574428,43.90016023856235,39.542231251993975,40.63652301969982,35
len,35.80922323559958,38.97556690942673,47.63332445659335,43.04698972853403,51.266184894212216,51.96307673967217,51.53501963236975,69
lh,95.83246028234088,100.49698408823164,120.34460312979562,125.98988075861855,147.39892456541023,169.9339843081288,161.13154720124743,198
lhx,46.314602246360174,63.34339002578977,70.7462507580954,80.85634628174797,113.45629919287693,149.40287008703467,182.3623454381549,171
lin,100.61388545566135,113.24087297348748,103.95119552006797,104.42760476611909,124.11710971665097,151.50272220444396,183.86554663521903,244
lkq,26.968095264737567,27.602023745340013,28.32888895367819,31.961507842654274,33.603306781723205,33.537091608541424,29.087460268111457,27
lly,43.426346809145,52.71634256272089,69.35926146734329,69.03877158392044,76.70638490958042,89.74743153849445,114.15824218023391,159
lmt,91.9129997737824,142.96870949154808,177.65758738442074,214.75811991615902,266.65210568857384,305.66048647208044,339.1362086704799,386
lnc,32.96101578455123,44.71598018161834,48.181671339368066,41.44836630896916,64.54704751246479,64.10047236286786,58.04930673326765,37
lnt,20.011672019958496,23.837086465623642,26.13774347305298,32.597112428574334,37.53905715030503,39.56357738601259,48.025281557961115,53
low,37.98559508247981,46.00978686317565,65.02175290243966,68.51409386831617,74.71250991517329,92.47284279021609,104.0254326169453,147
lrcx,42.49408868759397,59.431012819683744,69.98878347306024,80.41840424613348,147.03641923395287,168.20257513646587,204.3796385507735,345
luv,13.25736043188307,27.278892433832564,39.01263924250527,39.902321558150035,54.911849063706114,54.729102298083056,52.50443519107879,31
lvs,43.789529527936665,53.36520437210325,39.88971769998944,41.810037438831635,52.82118126310675,61.28293288941402,57.5486873142303,44
lw,,,,32.539360536847795,43.66533162394368,65.39549080594128,70.70696632445805,67
lyb,42.564951306297665,60.53235137273395,60.90788873036703,56.02522459484282,66.22546994638633,78.73907985915226,81.12874934786842,68
lyv,15.071309509731474,23.153373067341153,25.95234125379532,24.59269843025813,36.15015930388553,47.661195276267975,64.76047627888029,47
ma,58.62838755713569,74.51247324262347,89.63924762180874,93.4676680489192,125.16957067968362,189.46719980429842,254.69675415281264,306
maa,49.85887651594858,55.37205255599249,66.36691443125407,83.19958935086689,91.84548542888992,89.17999127756552,114.27167062910776,111
mar,38.50037842705136,58.6081482115246,70.92833470541333,66.10954850817484,99.6143829832039,126.34372729419238,127.92495854695638,87
mas,16.20040533656166,18.276207235124375,23.63555139208597,29.972992866758315,35.72875001610988,36.6870465373613,39.46136731950064,54
mcd,78.75102797008697,80.88092334686763,87.67124070061578,108.32682573227655,138.15838276532543,157.96912703191143,193.32117232065352,198
mchp,32.5298812957037,40.412004516238255,42.106573119996085,50.230661710103355,76.97959978931928,83.07898668084012,88.45478033641028,100
mck,116.69762883867536,178.03619227333675,203.68697962685238,161.20480746314638,145.75884024935414,135.91153194229915,131.45164565434533,155
mco,57.42526270851256,81.10237409198095,96.49506251017253,93.6048344203404,121.81690152232865,161.246971616707,195.18707142178974,289
mdlz,26.828234574151416,31.94217396539355,36.945321075500004,39.349327692909846,40.617815481239106,40.280769439332516,50.355383358304465,54
mdt,44.32833517165411,55.43377334352524,67.36703454880487,73.54880908178905,75.93372639811847,83.98653563845205,96.4573805370028,96
met,31.519903902023557,38.55978298187256,38.39306215255979,34.677386843968954,43.78036929126755,42.4695016321433,44.994536006261434,38
mgm,15.342540052202013,22.98610694824703,19.684623332250688,22.353644772181436,29.290112689196825,29.521220264206846,27.867594794621542,15
mhk,119.11813460456,139.872103161282,187.18027793036566,192.83579381306967,243.33772928306306,201.14067722031794,133.27916650923473,85
mkc,60.505637623014906,62.23189305502271,72.45624566456628,89.13014784313384,93.57491126193469,115.56948737034284,151.56229524763805,193
mktx,47.43029544467018,56.90277369060214,88.42156491960797,138.35990009610614,184.18189552580694,200.21542461744818,309.440313551161,505
mlm,93.38005568489196,115.22056031605554,140.69465494912768,172.3888949742393,210.98951630003424,199.55414146636113,227.69539708939809,223
mmc,35.20487677861774,44.92549145410931,50.41793971591525,58.3899569587102,72.76121723129455,79.88568683639465,95.27751601688446,114
mmm,94.23951164124504,121.04754223899236,135.78352934216696,150.39908393980966,187.85239328331207,197.66130935243402,173.23745424785312,159
mnst,18.65683865168738,26.78735451471238,45.46216929904998,47.66328041137211,51.694940194665676,57.66944224141034,59.171111182561,74
mo,24.88910569085015,31.08992902816288,41.49079651302762,51.14805389585949,57.85258044664603,52.000748394969925,44.94926214975024,41
mos,46.02662863050188,41.636855185978,37.73576574476938,25.0183471800789,24.23490986311103,28.622856451695657,23.746038936433337,13
mpc,30.98464874237303,36.18003967830113,42.95827587067135,35.121167833842925,48.77546635661942,67.70571411558356,55.57084625486343,38
mrk,37.30420725686209,47.559211216275656,48.51278162759448,50.97280508374411,56.82475425142691,60.498065963684326,79.70105800931415,77
