,ticker,sector,industry,price,eps_ttm,pe_ttm,roa_ttm,roe_ttm,debt_equity_ratio_mrq,revenue_ttm,ma_200,ma_50,current_ratio_mrq,div_yield_ttm,div_yield_5y_avg,high_52,low_52,growth_est_f5y,growth_est_p5y,growth_est_f1y,predicted_intrinsic_value,predicted_premium_percent,size_filter,pe_filter,div_filter,strong_div_filter,div_above_5y_avg_filter,current_ratio_mrq_filter,roa_ttm_filter
0,bxp,Real Estate,REIT—Office,90.67,5.87,15.28,0.0311,0.1324,148.31,2950000000.0,106.27,92.62,4.09,4.26,2.54,147.83,71.57,0.07,0.0793,-0.496,35.70085263542321,153.9715253468068,True,True,True,True,True,True,False
0,c,Financial Services,Banks—Diversified,51.67,5.86,8.75,0.006500000000000001,0.0707,,59090000000.0,55.63,52.13,,3.95,1.63,83.11,32.0,-0.0326,0.2609,0.865,-7.742439519819463,-767.3607183851122,True,True,True,False,True,False,False
0,cag,Consumer Defensive,Packaged Foods,36.61,1.72,21.49,0.0509,0.1092,125.75,11050000000.0,32.26,34.91,0.88,2.32,2.56,37.2,22.83,,,,,,True,True,True,False,False,False,False
0,carr,Industrials,Building Products & Equipment,26.58,,0.0,,,395.08,18170000000.0,19.27,23.62,1.34,,,27.63,11.5,,,,,,True,False,False,False,False,True,False
0,cat,Industrials,Farm & Heavy Construction Machinery,137.58,9.46,14.78,0.060899999999999996,0.3569,260.79,50970000000.0,123.38,129.83,1.42,2.99,3.04,150.55,87.5,-0.0692,0.2648,0.433,-41.65630127833991,-430.2741620786618,True,True,True,False,False,True,False
0,cboe,Financial Services,Financial Data & Stock Exchanges,89.46,4.55,19.23,0.0827,0.1311,30.39,2820000000.0,103.1,95.44,1.76,1.21,1.2,127.93,72.01,0.028999999999999998,0.2147,-0.036000000000000004,13.293511896951633,572.9598671402572,True,True,True,False,True,True,False
0,cci,Real Estate,REIT—Specialty,166.7,1.77,95.16,0.026000000000000002,0.0779,242.68,5780000000.0,157.44,168.22,0.47,2.79,3.6,180.0,114.18,0.1949,0.0541,0.284,239.13576360865684,-30.29064432503589,True,False,True,False,False,False,False
0,cdns,Technology,Software—Application,102.59,3.64,28.95,0.1005,0.5513,30.86,2440000000.0,79.74,96.5,1.42,,,106.54,51.39,0.13699999999999998,0.1888,0.079,93.79738874234005,9.374046949018089,True,True,False,False,False,True,True
0,ce,Basic Materials,Chemicals,92.43,5.99,15.9,0.059800000000000006,0.2397,155.15,6070000000.0,89.86,88.94,1.48,2.68,1.95,128.88,52.7,0.046,0.1531,0.33,23.745898520955848,289.24616778948234,True,True,True,False,True,True,False
0,cern,Healthcare,Health Information Services,71.79,1.61,45.11,0.0644,0.11349999999999999,39.3,5710000000.0,69.88,70.2,1.93,1.0,,80.9,53.08,0.1321,0.0687,0.166,61.73054263397391,16.295753992756556,True,True,True,False,False,True,False
0,cf,Basic Materials,Agricultural Inputs,30.58,2.15,14.61,0.045700000000000005,0.1118,87.9,4560000000.0,31.86,29.48,1.2,3.92,3.33,55.15,19.73,-0.0766,-0.175,0.222,-10.207444241984334,-399.585275952046,True,True,True,False,True,False,False
0,cfg,Financial Services,Banks—Regional,25.58,2.52,9.85,0.0069,0.053399999999999996,,5410000000.0,26.8,25.29,,5.86,2.52,41.29,14.12,-0.026600000000000002,0.2743,0.7859999999999999,-3.095153190110171,-926.4534395820805,True,True,True,True,True,False,False
0,chd,Consumer Defensive,Household & Personal Products,85.87,2.66,32.78,0.0819,0.252,104.61,4480000000.0,73.28,79.24,1.03,1.07,1.43,87.5,47.98,0.0851,0.1093,0.07,43.482832659635115,97.48023472194964,True,True,True,False,False,False,False
0,chrw,Industrials,Integrated Freight & Logistics,86.07,3.6,24.35,0.08839999999999999,0.3045,111.54,15360000000.0,74.7,80.99,1.44,2.35,2.32,91.23,56.94,0.0525,0.0864,0.3,25.27009301443923,240.60025006959785,True,True,True,False,True,True,False
0,chtr,Communication Services,Entertainment,561.72,8.23,68.07,0.029500000000000002,0.0533,220.45,46300000000.0,504.06,534.04,0.44,,,571.6,345.67,0.47759999999999997,-0.008100000000000001,0.615,3347.6092614027853,-83.22026389171188,True,False,False,False,False,False,False
0,ci,Healthcare,Healthcare Plans,181.02,13.03,13.47,0.0356,0.1127,82.22,154170000000.0,189.92,187.06,0.76,0.02,0.02,224.64,118.5,0.1125,0.1814,0.109,122.19514314463215,48.14009406719366,True,True,True,False,False,False,False
